name,description,category,subcategory,price
Pet Hair Remover,Effective roller for removing pet hair from furniture.,Pets,Grooming Supplies,$7673.72
Whipped Cream Cheese,"Light and fluffy cream cheese, perfect for bagels or cooking.",Food - Dairy,Dairy Spreads,$3708.59
Wooden Kitchen Utensil Set,Eco-friendly utensil set made from natural wood.,Kitchen,Kitchen Gadgets,$3581.68
Sunglasses,Polarized sunglasses with UV protection.,Accessories,Eyewear,$8655.82
Fitness Tracker,"Track steps, heart rate, and sleep patterns.",Fitness,Wearable Technology,$8726.71
Adjustable Standing Desk,Ergonomic desk that adjusts height for standing or sitting.,Office,Furniture,$6196.70
Smart WiFi Plug,Control appliances remotely using your smartphone.,Smart Home,Smart Plugs & Outlets,$6639.46
Lightweight Workout Tank,Breathable tank top perfect for workouts or casual wear.,Clothing - Activewear,Tanks & Sleeveless Tops,$4527.07
Foldable Picnic Table,Lightweight and portable picnic table for outdoor use.,Outdoor,Outdoor Furniture,$9735.08
Compressed Towel Tablets,"Compact towels that expand when wet, ideal for travel.",Travel,Travel Accessories,$6331.96
Smart LED Desk Lamp,Adjustable lamp with multiple brightness levels and colors.,Office,Lighting,$523.90
Mediterranean Olives,A mix of brined Mediterranean olives for snacking.,Food - Condiments,Olive Products,$9563.50
Banana Nut Muffins,"Moist, fluffy muffins packed with bananas and walnuts for a delightful breakfast or snack.",Food - Bakery,Muffins,$5001.19
Personal Blender with Travel Cup,Blender for smoothies with a portable cup.,Kitchen,Small Appliances,$9380.36
Adjustable Pedicure Footrest,Ergonomic footrest for easier pedicure treatment.,Beauty,Nail Care,$7806.90
Garlic Butter Shrimp,"Frozen shrimp sautéed in garlic butter, ready to thaw and serve over pasta or rice.",Food - Seafood,Frozen Seafood,$8715.71
Computer Monitor Stand,Ergonomic monitor stand for improved workspace organization.,Office,Office Accessories,$7496.11
BBQ Lentil Chips,Savory lentil chips with BBQ flavor,Food - Snacks,Healthy Snacks,$8459.27
Smart Light Bulbs,Color-changing smart LED bulbs compatible with Alexa.,Smart Home,Smart Lighting,$5581.54
Oven-Baked Parmesan Zucchini,"Frozen zucchini slices coated in parmesan cheese, perfect for baking or frying.",Food - Frozen Vegetables,Frozen Veggie Snacks,$9134.37
Savory Italian Herbs,A blend of dried Italian herbs for cooking.,Food - Spices,Herb Blends,$2103.44
Basil Lemonade,Refreshing basil-infused lemonade for a cool drink.,Food - Beverages,Herbal Beverages,$9475.84
Pet Training Clicker,Simple tool to train your pet with positive reinforcement.,Pets,Training Supplies,$2744.57
Pistachio Ice Cream,Creamy pistachio-flavored ice cream with real nuts.,Food - Frozen Desserts,Gourmet Ice Cream,$1774.81
Thai Peanut Dressing,A creamy and tangy dressing perfect for salads or as a dipping sauce.,Food - Condiments,Dressing,$2720.32
Beef Chili,"Hearty beef chili, ready to heat and eat.",Food - Canned Goods,Soups & Broths,$3010.43
Multi-Port USB Hub,USB hub for expanding ports on computers and laptops.,Electronics,Computer Accessories,$5136.20
Bluetooth Headphones,Noise-cancelling Bluetooth headphones for immersive sound.,Audio,Wireless Audio Accessories,$6744.29
Chili Lime Shrimp,"Frozen shrimp seasoned with chili and lime, perfect for quick dinners.",Food - Seafood,Marinated Seafood,$8458.41
Spicy Thai Coconut Soup,"A ready-to-eat soup with coconut milk, spices, and vegetables.",Food - Soups,Specialty Soups,$4270.09
Toy Building Set,Creative building set for kids to spark imagination.,Toys,Building Toys,$4178.14
Sriracha Chili Sauce,Spicy chili sauce with garlic and sugar for a flavor kick.,Food - Condiments,Hot Sauces,$1148.55
Camping Chair with Cooler,Foldable chair equipped with a cooler pouch.,Outdoor,Camping Equipment,$1303.22
Wooden Children's Play Kitchen,Interactive kitchen set for imaginative play.,Toys,Pretend Play Toys,$2368.80
Almond Joy Protein Bars,Chocolate coconut protein bars inspired by the classic candy bar.,Food - Snacks,Protein Snacks,$7761.96
Floral Wrap Top,A feminine wrap top with a beautiful floral print.,Clothing - Tops,Women's Tops,$9774.97
Garden Vegetable Soup,"A hearty soup filled with vegetables and herbs, perfect for a light meal.",Food - Canned Goods,Soups & Broths,$7391.15
DIY Candle Making Kit,Everything you need to make your own candles.,Crafts,Candle & Soap Making Supplies,$7466.58
Cucumber,"Fresh and crunchy cucumbers, great for salads.",Food - Produce,Fruits & Vegetables,$4046.29
Outdoor Camping Hammock,Lightweight and durable hammock for relaxing in nature.,Outdoor,Camping Equipment,$3656.53
Collapsible Storage Crates,Space-saving crates for easy organization at home or while traveling.,Home,Home Organization,$5477.57
Mini Projector,Portable projector with 1080p resolution for movies.,Electronics,Portable Audio & Video Equipment,$6496.09
Luxury Memory Foam Mattress Topper,Adds extra comfort to your mattress for a better night's sleep.,Home,Bedding & Linens,$1390.25
Sushi Rice,Short-grain sushi rice for perfect rolls.,Food - Grains,Specialty Rice,$6262.22
Personalized Pet ID Tags,Custom engraved ID tags for pets with your contact information.,Pets,Pet Accessories,$86.70
Electric Meat Grinder,Powerful grinder for making sausage and burgers at home.,Kitchen,Small Appliances,$4378.10
Teriyaki Beef Jerky,Savory and chewy beef jerky with teriyaki flavor.,Food - Snacks,Meat Snacks,$8917.38
Honey Butter Popcorn,Light and fluffy popcorn coated in sweet honey butter.,Food - Snacks,Gourmet Snacks,$2480.19
Toilet Paper (12 rolls),Soft and strong toilet paper for everyday use.,Food - Household,Household Supplies,$8784.36
Infrared Thermometer,Non-contact thermometer for checking temperatures instantly.,Health,Medical Devices,$5267.24
Greek Yogurt,Creamy Greek yogurt packed with protein and probiotics.,Food - Dairy,Yogurt,$5256.78
Aeropress Coffee Maker,Portable coffee maker for rich brews on the go.,Kitchen,Coffee Equipment,$723.03
Garlic Parmesan Roasted Potatoes,Oven-roasted potatoes tossed in garlic and parmesan cheese seasoning.,Food - Sides,Vegetable Sides,$2247.41
Pet Training Pads,Absorbent training pads for puppies and kittens.,Pets,Training Supplies,$4097.43
Roasted Garlic Aioli,Flavored aioli made with roasted garlic,Food - Condiments,Dips,$7093.13
Gaming Headset,Comfortable gaming headset with surround sound.,Gaming,Gaming Accessories,$1947.98
Computer Monitor Stand,Ergonomic monitor stand for improved workspace organization.,Office,Office Accessories,$8163.87
Garden Vegetable Chips,"Crispy chips made from assorted garden vegetables, lightly salted.",Food - Snacks,Vegetable Snacks,$3350.03
Waffle Maker,Make delicious waffles with this user-friendly device.,Kitchen,Small Appliances,$7556.67
Italian Pasta,"Authentic Italian pasta, perfect for a classic meal.",Food - Grains,Italian Cuisine,$4114.78
Crispy Kale Chips,"Baked kale chips seasoned for a healthy, crunchy snack.",Food - Snacks,Healthy Snacks,$5625.42
Organic Vanilla Bean Ice Cream,"Creamy ice cream made with real vanilla beans, perfect for desserts.",Food - Frozen Desserts,Ice Cream,$465.30
Chipotle Seasoning Blend,A smoky blend of spices for grilling and roasting.,Food - Spices,Regional Seasoning Blends,$1274.54
Bluetooth Shower Speaker,Water-resistant Bluetooth speaker for showers.,Audio,Portable Speakers,$7905.15
Phone Screen Protector,Tempered glass screen protector for smartphones.,Accessories,Mobile Accessories,$7261.52
Maxi Wrap Dress,A flowy maxi dress perfect for both casual and semi-formal occasions.,Clothing - Dresses,Casual Dresses,$7988.16
Digital Food Scale,Precision digital scale for accurate cooking measurements.,Kitchen,Food Preparation Tools,$5977.92
Wall Calendar,Beautiful wall calendar for organizing your schedule.,Home,Decorative Wall Art & Accessories,$2625.17
Coffee Maker,Single-serve coffee maker with a built-in grinder.,Kitchen,Beverage Appliances,$137.35
Herbal Tea Variety Pack,"Assorted herbal teas, perfect for a warm and relaxing drink.",Food - Beverages,Herbal Tea,$3958.25
Beef Stroganoff Mix,Everything you need to create a hearty beef stroganoff.,Food - Meal Kits,Pasta & Rice Mixes,$4667.66
Granola Bars,"Crispy and chewy granola bars, perfect for on-the-go.",Food - Snacks,Healthy Snacks,$6670.70
Car Emergency Kit,Comprehensive emergency kit for roadside assistance.,Automotive,Safety and Emergency Supplies,$5967.27
Non-Stick Baking Sheets,Set of baking sheets for effortless baking.,Kitchen,Baking Accessories,$8765.90
Honey Graham Crackers,Sweet and crunchy honey-flavored graham crackers.,Food - Snacks,Sweet Snacks,$5448.80
Wall Planner,Large wall planner for organizing schedules.,Office,Organizational Tools,$8745.12
Asian Stir-Fry Kit,Prepped vegetables and sauces for a quick Asian stir-fry meal.,Food - Frozen Meals,Frozen Asian Meals,$5434.54
Veggie Chips Variety Pack,A colorful variety of crunchy veggie chips for snacking.,Food - Snacks,Healthy Snacks,$3672.83
Silicone Baking Mat Set,Non-stick and reusable mats for easy baking.,Kitchen,Baking Accessories,$6643.44
Vegan chocolate chip cookies,"Delicious soft cookies, dairy-free and egg-free, perfect for treats.",Food - Bakery,Vegan Baked Goods,$8665.47
Gluten-Free Biscuits,Fluffy biscuits made without gluten,Food - Baking,Baking Ingredients,$4366.40
Herb Garden Planter Box,Elevated planter box for growing herbs or small plants easily.,Garden,Planters,$6190.63
Crispy Onion Rings,"Frozen onion rings, crispy and ready to bake.",Food - Frozen Foods,Frozen Appetizers,$2341.13
Organic Tomato Soup,Hearty tomato soup made from organic ingredients.,Food - Canned Goods,Soups & Broths,$6009.18
Kettle Corn Popcorn,"Sweet and salty kettle corn, perfect for snacking.",Food - Snacks,Savory Snacks,$2972.94
High-Quality Yoga Block,Foam yoga block for enhancing poses and stability.,Fitness,Yoga Equipment,$8103.34
Cinnamon Roll Kit,Everything you need to make melt-in-your-mouth cinnamon rolls at home.,Food - Baking,Baking Kits,$8507.00
Banana Chips,"Crunchy and sweet banana chips, a great on-the-go snack.",Food - Snacks,Sweet Snacks,$5277.11
Lasagna Noodles,Wide pasta sheets for making lasagna.,Food - Pasta,Pasta,$322.22
Outdoor Camping Hammock,Lightweight and durable hammock for relaxing in nature.,Outdoor,Camping Equipment,$3383.68
Pet Grooming Kit,Complete grooming kit for dogs and cats.,Pets,Grooming Supplies,$9086.44
Almond Flour Brownies,Deliciously rich brownies made with almond flour.,Food - Baking,Mixes,$7509.01
BBQ Lentil Chips,Savory lentil chips with BBQ flavor,Food - Snacks,Healthy Snacks,$4057.68
Coconut Curry Chicken,"Tender chicken cooked in a rich coconut curry sauce, ready to heat and serve.",Food - Frozen Foods,Frozen Meals,$4749.94
Adjustable Stand for Tablets and Smartphones,Multi-angle stand for easy viewing of devices.,Electronics,Mobile Accessories,$9833.24
Vegetable Chips,Crispy and crunchy snack made from assorted vegetables.,Food - Snacks,Healthy Snacks,$6702.89
Wireless Charging Station,Charge multiple devices with this sleek charging station.,Electronics,Mobile Accessories,$1203.88
Smart Water Bottle,Water bottle that tracks your hydration levels.,Fitness,Hydration Gear,$5783.38
Yoga Mat Carrier,Convenient carrier for transporting yoga mat.,Fitness,Yoga Equipment,$1005.10
Pet Travel Carrier,Comfortable carrier for small pets during travel.,Pets,Travel Accessories,$6595.77
Coconut Curry Sauce,A flavorful sauce made with coconut milk and spices.,Food - Sauces,Ethnic Sauces,$1031.63
Gingerbread House Kit,Everything you need to build a festive gingerbread house.,Food - Baking,Baking Kits,$8062.29
Quinoa & Black Bean Salad,A nutritious salad with quinoa and black beans,Food - Salads,Healthy Salads,$7.41
Jump Rope with Counter,Durable jump rope with built-in counter for workouts.,Fitness,Cardio Equipment,$6823.75
Legging Pants,Comfortable and stretchy legging pants perfect for workouts or daily wear.,Clothing - Activewear,Leggings,$1764.73
Organic Italian Seasoning,A blend of dried herbs commonly used in Italian cooking.,Food - Spices,Herbs and Spices,$1518.44
Honey Roasted Almonds,Sweet and crunchy roasted almonds.,Food - Snacks,Nuts and Seeds,$559.47
Sea Salt Caramel Popcorn,"Sweet and salty popcorn with sea salt and caramel, a tasty treat.",Food - Snacks,Gourmet Snacks,$8487.30
Sweet and Spicy Barbecue Sauce,A flavorful barbecue sauce with a sweet and spicy kick.,Food - Condiments,BBQ Sauces,$5538.62
Self-Inflating Camping Mattress,Comfortable camping mattress that inflates automatically.,Outdoor,Camping Equipment,$2986.57
Leather Notebook Cover,Elegant cover that protects your notebook with style.,Office,Office Accessories,$7642.30
Vegan Caesar Dressing,"Creamy vegan dressing made with cashews, perfect for salads.",Food - Condiments,Dressing,$9289.58
Dog Training Clicker,Training tool for reinforcing commands and behavior in dogs.,Pets,Training Supplies,$1927.65
Emergency Preparedness Kit,Complete kit for emergency situations including food and water.,Safety,Disaster Preparedness,$840.73
Bamboo Toothbrush,Eco-friendly bamboo toothbrush for sustainable living.,Health,Oral Care & Hygiene,$9727.53
Safety Goggles,Protective goggles for DIY and construction work.,Safety,Personal Protective Equipment (PPE) & Disaster Preparedness,$5017.54
Vegetarian Sausage Links,Plant-based sausage links with spices and herbs.,Food - Meat Substitutes,Plant-Based Meats,$9071.60
Pumpkin Spice Coffee,"Coffee blend infused with pumpkin spice, perfect for fall.",Food - Beverages,Coffee,$1786.36
Crispy Chickpeas,Roasted chickpeas seasoned for a crunchy snack.,Food - Snacks,Healthy Snacks,$7453.74
Potato Wedge Seasoning,Seasoning mix for making crispy and flavorful potato wedges.,Food - Condiments,Seasoning Blends,$5986.35
Sourdough Bread,Artisan-made sourdough bread with a tangy flavor.,Food - Bakery,Breads,$3803.43
Coloring Books for Adults,Intricate designs for adults to relax and unwind.,Books,Arts & Crafts,$6688.79
Memory Foam Mattress Pad,Extra layer of comfort for your mattress.,Home,Bedding & Linens,$3048.28
Pet Activity Tracker,GPS collar that monitors your pet's location and activity level.,Pets,Pet Health and Care,$4792.77
Gardening Gloves with Claws,Durable gloves with built-in claws for digging and planting.,Garden,Garden Tools,$5033.75
Instant Read Meat Thermometer,Fast and accurate thermometer for grilling and cooking.,Kitchen,Cooking Tools & Utensils,$8453.20
Maple Cinnamon Almonds,Roasted almonds coated in a sweet maple and cinnamon mixture.,Food - Nuts,Flavored Nuts,$9317.88
Peach Salsa,Sweet and spicy salsa made with fresh peaches.,Food - Dips,Fruit Dips,$7507.97
Whipped Cream Cheese,"Light and fluffy cream cheese, perfect for bagels or cooking.",Food - Dairy,Dairy Spreads,$7052.04
Water Bottle with Built-in Fruit Infuser,Stay hydrated with refreshing flavored water.,Fitness,Fitness Accessories,$9162.34
Coconut Milk,Rich coconut milk for curries and desserts.,Food - Canned Goods,Coconut Products,$4127.51
Lightweight Travel Backpack,Compact and portable backpack for day trips and travel.,Travel,Travel Accessories,$1758.03
Cooking Utensil Set,Complete set of cooking utensils made from bamboo.,Kitchen,Cooking Tools & Utensils,$4550.44
Oven-Baked Chicken Tenders,"Crispy and juicy chicken tenders, perfect for dipping.",Food - Meat,Poultry,$9514.18
Pet Hair Vacuum Cleaner Attachment,Specialized attachment for removing pet hair from surfaces.,Pets,Grooming Supplies,$9293.48
Travel Makeup Organizer,Compact organizer for cosmetics during travel.,Beauty,Makeup,$7586.55
Almond Flour Brownies,Deliciously rich brownies made with almond flour.,Food - Baking,Mixes,$2875.57
Adjustable Height Standing Desk Converter,Convert your desk to a standing desk easily.,Office,Furniture,$4191.13
Legging Pants,Comfortable and stretchy legging pants perfect for workouts or daily wear.,Clothing - Activewear,Leggings,$8248.71
Electric Heating Pad,Microwaveable heating pad for muscle pain relief and relaxation.,Health,Pain Relief & Therapy,$1267.46
Magnetic Curtain Tiebacks,Easy-to-use tiebacks for curtains or drapes.,Home,Home Decor,$2354.28
Hiking Gaiters,Protective gaiters to keep dirt and debris out of shoes during hikes.,Outdoor,Hiking Accessories,$864.89
Chocolate Chip Cookie Dough,Ready-to-bake cookie dough packed with chocolate chips.,Food - Baking,Mixes,$1314.62
Dark Chocolate Covered Raisins,Satisfy your sweet tooth with these dark chocolate-covered raisins.,Food - Snacks,Chocolate Snacks,$7051.61
Handheld Vacuum,Cordless handheld vacuum for quick cleanups.,Home Appliances,Cleaning Appliances,$466.74
Sparkling Blood Orange Soda,A refreshing sparkling beverage with a bold blood orange flavor.,Food - Beverages,Sparkling Beverages,$6895.29
LED Christmas Lights,Eco-friendly LED lights for festive decorations.,Home,Seasonal Home Decor,$7345.22
Lemon Garlic Marinade,"A zesty marinade made with lemon juice and garlic, ideal for chicken or fish.",Food - Condiments,Marinades,$1415.42
Slingback Sandals,Chic slingback sandals for a relaxed summer vibe.,Clothing - Footwear,Women's Footwear,$5799.58
Multi-Purpose Marine Rope,"Heavy-duty rope suitable for boating, camping, and general use.",Outdoor,Outdoor Recreation,$6857.74
Electric Milk Frother,Handheld frother for creating frothed milk for coffee.,Kitchen,Beverage Appliances,$2362.95
Chocolate Chip Cookie Dough,Ready-to-bake cookie dough packed with chocolate chips.,Food - Baking,Mixes,$4673.57
Graphic Tee,Soft cotton graphic tee available in various designs.,Clothing,T-shirts,$6853.77
Foam Muscle Roller,Relieve muscle tension and soreness with this foam roller.,Fitness,Recovery Tools,$2478.31
Lemon Basil Pasta Sauce,A tangy sauce that combines lemon zest and basil for a refreshing flavor.,Food - Sauces,Pasta Sauces,$8591.77
Memory Card,64GB SD memory card for cameras and devices.,Storage,Storage Devices,$3215.01
Balsamic Fig Dressing,"A sweet and tangy dressing made with figs and balsamic vinegar, great on salads.",Food - Condiments,Dressing,$1824.92
Stainless Steel Water Bottle,Durable and insulated water bottle to keep beverages cold.,Fitness,Hydration Gear,$9711.55
Low-Fat Yogurt,"Creamy yogurt with probiotics, available in various flavors.",Food - Dairy,Yogurt,$7073.76
Wireless Printer,Compact wireless printer for home use.,Office,Printers & Scanners,$5471.64
Camping Chair,Portable folding camping chair with cup holder.,Outdoor,Outdoor Furniture,$8090.09
Lemon Herb Grilled Chicken,Tender grilled chicken marinated in lemon herbs.,Food - Meat,Marinated Poultry,$9206.71
Insulated Sport Tumbler,Vacuum-insulated tumbler for beverages on the go.,Fitness,Hydration Gear,$588.11
Cucumber Lime Sparkling Water,Refreshing sparkling water with cucumber and lime flavor.,Food - Beverages,Sparkling Beverages,$426.74
Garlic Herb Cream Cheese,Spreadable cream cheese blended with garlic and herbs.,Food - Dairy,Cheese Spreads,$2036.68
Bamboo Charcoal Air Purifier Bags,Natural air purifiers to absorb odors and moisture.,Home,Air Quality & Purification,$1744.31
Wild Rice Pilaf,"A mix of wild rice with herbs and spices, ready to serve.",Food - Grains,Rice Dishes,$1081.61
Energy Protein Bars,Nutritious bars packed with protein for energy,Food - Snacks,Healthy Snacks,$9308.21
Bicycle Lock,Heavy-duty bicycle lock for security.,Bicycles,Accessories,$7786.91
Ski Goggles,Anti-fog ski goggles for winter sports.,Sports,Snow Sports,$2613.16
Silicone Stretch Lids,Reusable silicone lids for covering food in bowls and storage containers.,Kitchen,Food Storage Solutions,$664.10
Vegan chocolate chip cookies,"Delicious soft cookies, dairy-free and egg-free, perfect for treats.",Food - Bakery,Vegan Baked Goods,$4943.92
Honey Butter Popcorn,Light and fluffy popcorn coated in sweet honey butter.,Food - Snacks,Gourmet Snacks,$8687.93
Kids' Art Easel,Double-sided art easel for painting and drawing.,Toys,Creative Toys,$9334.94
Whole Grain Cereal,"Healthy whole grain cereal, great for breakfast.",Food - Breakfast,Breakfast Cereals,$2147.37
Kids' Outdoor Explorer Kit,Fun kit for aspiring explorers with binoculars and a compass.,Toys,Outdoor Play Toys,$4411.27
Kids' Art Easel,Double-sided art easel for painting and drawing.,Toys,Creative Toys,$2090.32
Pasta Maker,Manual pasta maker for homemade pasta.,Kitchen,Small Appliances,$650.14
Hummus Trio Pack,"A variety pack of classic, roasted red pepper, and garlic hummus.",Food - Snacks,Dips and Spreads,$2190.32
Noise Reduction Headphones,Passive noise reduction headphones for focus.,Audio,Headphones & Earbuds,$89.37
